entry_id	kingdom	phylum	class	order	family	genus	species	cell_type	gene_symbol	cell_subtype	sample_type	tissue_type	pubmed_id	journal	title	geo_id
1575	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Endothelial cells	"CLDN5, BSG, IFITM3, TSC22D1, B2M, IFI27, ID3, IGFBP7, HLA-B, SLC9A3R2, EMP2, ITM2A, DUSP1, TMSB10, IFITM2, BST2, ID1, H3F3B, EGFL7, UBC, C10orf10, HSPA1A"	Endothelial cells	Tissue	Brain	32070434	Acta Neuropathol Commun	Single-nucleus RNA-seq identifies Huntington disease astrocyte states	NA
1576	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Microglia cells	"HLA-B, IBA1, C1QB, CD74, SPP1, SLC25A37, RNASET2, SRGAP2B, C1QC, C1QA, SLCO2B1, SAT1, TMSB4X, CD14, SRGAP2C"	Microglia cells	Tissue	Brain	32070434	Acta Neuropathol Commun	Single-nucleus RNA-seq identifies Huntington disease astrocyte states	NA
1577	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Microglia cells	"HLA-B, IBA1, C1QB, CD74, SPP1, SLC25A37, RNASET2, SRGAP2B, C1QC, C1QA, SLCO2B1, SAT1, TMSB4X, CD14, SRGAP2C"	Microglia cells	Tissue	Brain	32070434	Acta Neuropathol Commun	Single-nucleus RNA-seq identifies Huntington disease astrocyte states	NA
1578	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Neural cells	"CCK, MAP1B, BEX3, NRGN, MEG3, BCYRN1, SYT1, ATP1B1, MAP1B, SNAP25, UCHL1, RTN1, CHN1, CCK, CALM1, LINC00632, STMN2, NRGN, VAMP2, PPP3CA, VSNL1, BASP1, THY1, MIAT, YWHAH, GNAS, BEX1, AHI1, BEX3, SYP, GPM6A, SNHG14, PCSK1N, MEF2C, MAPK10"	Neurons	Tissue	Brain	32070434	Acta Neuropathol Commun	Single-nucleus RNA-seq identifies Huntington disease astrocyte states	NA
1579	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Neural cells	"CCK, MAP1B, BEX3, NRGN, MEG3, BCYRN1, SYT1, ATP1B1, MAP1B, SNAP25, UCHL1, RTN1, CHN1, CCK, CALM1, LINC00632, STMN2, NRGN, VAMP2, PPP3CA, VSNL1, BASP1, THY1, MIAT, YWHAH, GNAS, BEX1, AHI1, BEX3, SYP, GPM6A, SNHG14, PCSK1N, MEF2C, MAPK10"	Neurons	Tissue	Brain	32070434	Acta Neuropathol Commun	Single-nucleus RNA-seq identifies Huntington disease astrocyte states	NA
1580	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Oligodendrocytes	"APOD, NOVA1, BCAN, PTPRZ1, OLIG1, LRRC4C, VCAN, TNR, MARCKS, MARCKSL1, SCRG1, HTRA1, SCD5, RAMP1, GPR37L1, PLEKHH2, SMOC1, OLIG2, PLLP, FXYD6, PTN, ITM2C, GRIA2"	Oligodendrocyte precursors	Tissue	Brain	32070434	Acta Neuropathol Commun	Single-nucleus RNA-seq identifies Huntington disease astrocyte states	NA
1581	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Oligodendrocytes	"APOD, NOVA1, BCAN, PTPRZ1, OLIG1, LRRC4C, VCAN, TNR, MARCKS, MARCKSL1, SCRG1, HTRA1, SCD5, RAMP1, GPR37L1, PLEKHH2, SMOC1, OLIG2, PLLP, FXYD6, PTN, ITM2C, GRIA2"	Oligodendrocyte precursors	Tissue	Brain	32070434	Acta Neuropathol Commun	Single-nucleus RNA-seq identifies Huntington disease astrocyte states	NA
1582	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Oligodendrocytes	"MBP, TMEM120, MOBP, PLP1, CRYAB, TTLL7, CLDN11, CNP, MBP, APLP1, SLC44A1, QDPR, TMEM144, GPM6B, SOX2-OT, TF, PCDH9, PIP4K2A, CLDND1, LAMP2, MOBP, AMER2, SCD, DOCK5, MAP7, PTMA, CNTN2, ABCA2, LINC00844, MIR219A2, MAG, HAPLN2, SLC12A2, MID1IP1, EVI2A, CA2"	Oligodendrocytes	Tissue	Brain	32070434	Acta Neuropathol Commun	Single-nucleus RNA-seq identifies Huntington disease astrocyte states	NA
1583	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Oligodendrocytes	"MBP, TMEM120, MOBP, PLP1, CRYAB, TTLL7, CLDN11, CNP, MBP, APLP1, SLC44A1, QDPR, TMEM144, GPM6B, SOX2-OT, TF, PCDH9, PIP4K2A, CLDND1, LAMP2, MOBP, AMER2, SCD, DOCK5, MAP7, PTMA, CNTN2, ABCA2, LINC00844, MIR219A2, MAG, HAPLN2, SLC12A2, MID1IP1, EVI2A, CA2"	Oligodendrocytes	Tissue	Brain	32070434	Acta Neuropathol Commun	Single-nucleus RNA-seq identifies Huntington disease astrocyte states	NA
1584	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Neural cells	SMI32	Neural axonal	Organoids	Brain	32976764	Stem Cell Reports	Electrophysiological Maturation of Cerebral Organoids Correlates with Dynamic Morphological and Cellular Development	GSE157019
1585	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Neural cells	"ZFHX3, CRABP1, GRIA2, FOXG1, MAP2"	Neural crest cells	Organoids	Brain	32976764	Stem Cell Reports	Electrophysiological Maturation of Cerebral Organoids Correlates with Dynamic Morphological and Cellular Development	GSE157019
1586	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Neural cells	"NES, SOX1"	Neural progenitor cells	Cell line	Brain	32557945	Stem Cells	Mapping developmental trajectories and subtype diversity of normal and glaucomatous human retinal ganglion cells by single-cell transcriptome analysis	NA
1587	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Neural cells	"VIM, GFAP"	Neural progenitor cells	Tissue	Brain	32679030	Cell	Origins and Proliferative States of Human Oligodendrocyte Precursor Cells	phs000989.v4.p1
